Temperature (K),Brightness (watts/m2),Parallax (arcsec),distance ,luminosity,Lum in solar units (J/s)
5781.599217,1.22E-11,0.0104896,2.95E+11,1.10E+24,2.88E-03
5767.655045,1.09E-11,0.0104784,3.30E+11,1.37E+24,3.58E-03
5759.109852,1.68E-11,0.00991261,2.14E+11,5.75E+23,1.50E-03
5753.451712,1.17E-11,0.0106694,3.08E+11,1.18E+24,3.08E-03
5753.432749,1.31E-11,0.0110957,2.75E+11,9.43E+23,2.47E-03
5746.644261,6.67E-12,0.00831087,5.40E+11,3.66E+24,9.57E-03
5741.435298,1.40E-11,0.0119842,2.57E+11,8.27E+23,2.16E-03
5740.357717,1.12E-11,0.00937059,3.21E+11,1.29E+24,3.37E-03
5737.896785,9.65E-12,0.00823884,3.73E+11,1.75E+24,4.58E-03
5737.815961,1.06E-11,0.0122245,3.40E+11,1.44E+24,3.75E-03
5723.097277,5.81E-12,0.00811012,6.20E+11,4.82E+24,1.26E-02
5721.058167,6.52E-12,0.0106833,5.52E+11,3.83E+24,1.00E-02
5717.298422,8.13E-12,0.00790899,4.43E+11,2.47E+24,6.45E-03
5696.334357,6.15E-12,0.00885299,5.85E+11,4.30E+24,1.12E-02
5687.587929,6.96E-12,0.0104369,5.17E+11,3.36E+24,8.79E-03
5682.958464,9.61E-12,0.0106715,3.75E+11,1.76E+24,4.61E-03
5672.263494,1.27E-11,0.00923338,2.83E+11,1.01E+24,2.64E-03
5665.661935,4.02E-12,0.0109656,8.96E+11,1.01E+25,2.64E-02
5646.202809,9.16E-12,0.0120772,3.93E+11,1.94E+24,5.08E-03
5645.620845,7.60E-12,0.011088,4.74E+11,2.82E+24,7.36E-03
5607.530094,9.37E-12,0.0103475,3.84E+11,1.86E+24,4.85E-03
5606.255327,8.35E-12,0.00799741,4.31E+11,2.34E+24,6.11E-03
5604.043055,4.50E-12,0.0101792,8.00E+11,8.04E+24,2.10E-02
5602.157744,7.35E-12,0.00925368,4.90E+11,3.01E+24,7.87E-03
5597.895559,3.80E-12,0.00792345,9.47E+11,1.13E+25,2.95E-02
5595.874403,6.86E-12,0.0100474,5.25E+11,3.46E+24,9.05E-03
5586.876844,5.18E-12,0.0113833,6.95E+11,6.08E+24,1.59E-02
5579.867424,5.73E-12,0.0100315,6.28E+11,4.96E+24,1.30E-02
5566.766553,4.23E-12,0.00936953,8.51E+11,9.12E+24,2.38E-02
5565.690242,4.32E-12,0.0112008,8.33E+11,8.71E+24,2.28E-02
5547.94694,4.64E-12,0.00903749,7.76E+11,7.58E+24,1.98E-02
5540.267099,9.93E-12,0.00982284,3.63E+11,1.65E+24,4.32E-03
5535.855056,6.64E-12,0.00921776,5.42E+11,3.69E+24,9.65E-03
5534.23974,6.23E-12,0.0107649,5.78E+11,4.19E+24,1.10E-02
5533.633452,3.34E-12,0.00915156,1.08E+12,1.46E+25,3.81E-02
5525.520107,4.26E-12,0.0117131,8.45E+11,8.96E+24,2.34E-02
5525.086281,4.50E-12,0.0128055,8.00E+11,8.04E+24,2.10E-02
5520.12052,4.16E-12,0.00752802,8.65E+11,9.42E+24,2.46E-02
5519.596572,7.07E-12,0.0107393,5.09E+11,3.26E+24,8.51E-03
5518.954751,4.30E-12,0.00967692,8.37E+11,8.81E+24,2.30E-02
5518.052522,3.73E-12,0.0108691,9.65E+11,1.17E+25,3.05E-02
5516.751279,4.99E-12,0.0118801,7.21E+11,6.54E+24,1.71E-02
5508.39126,5.39E-12,0.00998792,6.68E+11,5.61E+24,1.47E-02
5506.607526,1.05E-11,0.0104641,3.43E+11,1.49E+24,3.89E-03
5506.603306,8.88E-12,0.00922411,4.05E+11,2.07E+24,5.40E-03
5497.971288,7.77E-12,0.0103645,4.63E+11,2.70E+24,7.06E-03
5485.544385,3.79E-12,0.0113101,9.50E+11,1.13E+25,2.96E-02
5484.716124,3.46E-12,0.0100026,1.04E+12,1.36E+25,3.56E-02
5483.493848,4.73E-12,0.013085,7.61E+11,7.27E+24,1.90E-02
5472.772204,3.06E-12,0.00946312,1.18E+12,1.74E+25,4.54E-02
5470.903452,3.59E-12,0.0104816,1.00E+12,1.26E+25,3.30E-02
5464.357684,4.13E-12,0.00985568,8.72E+11,9.55E+24,2.50E-02
5442.679732,1.02E-11,0.00976978,3.53E+11,1.56E+24,4.08E-03
5439.105398,3.69E-12,0.0100835,9.76E+11,1.19E+25,3.12E-02
5433.39404,1.47E-11,0.00860446,2.45E+11,7.54E+23,1.97E-03
5371.718237,2.61E-12,0.0106359,1.38E+12,2.38E+25,6.23E-02
5351.850469,2.43E-12,0.010099,1.48E+12,2.75E+25,7.18E-02
5335.881835,1.56E-12,0.0093766,2.31E+12,6.73E+25,1.76E-01
5332.174689,2.14E-12,0.0097587,1.68E+12,3.56E+25,9.32E-02
5318.346362,1.85E-12,0.00768695,1.95E+12,4.77E+25,1.25E-01
5311.851101,2.59E-12,0.0139875,1.39E+12,2.42E+25,6.32E-02
5303.684957,2.62E-12,0.00931801,1.37E+12,2.37E+25,6.18E-02
5303.6255,2.32E-12,0.00837932,1.55E+12,3.03E+25,7.92E-02
