Temperature (K),Brightness (watts/m2),Parallax (arcsec)
5781.59921722779,1.2159902948989399e-11,0.0104896
5767.65504525422,1.0910498828620198e-11,0.0104784
5759.10985220642,1.6835884578550198e-11,0.00991261
5753.45171181912,1.1748824370516098e-11,0.0106694
5753.43274929551,1.3140750050911199e-11,0.0110957
5746.6442611597,6.66949851312559e-12,0.00831087
5741.43529798819,1.40306224971386e-11,0.0119842
5740.3577171502,1.1236367636882699e-11,0.00937059
5737.89678501888,9.64567608396887e-12,0.00823884
5737.81596143813,1.0649671905848e-11,0.0122245
5723.09727670247,5.81089915917899e-12,0.00811012
5721.05816680922,6.5214941867091e-12,0.0106833
5717.29842175586,8.12676128154716e-12,0.00790899
5696.33435689471,6.15153386907991e-12,0.00885299
5687.58792887822,6.960185577322799e-12,0.0104369
5682.95846352534,9.606149233815398e-12,0.0106715
5672.26349410285,1.2694884050739398e-11,0.00923338
5665.66193535531,4.01526173550355e-12,0.0109656
5646.20280873231,9.15676001037838e-12,0.0120772
5645.62084539087,7.602520566260029e-12,0.011088
5607.53009398475,9.366276845380279e-12,0.0103475
5606.2553265556,8.34652677369927e-12,0.00799741
5604.0430553306,4.50108811256336e-12,0.0101792
5602.15774416544,7.35302767285941e-12,0.00925368
5597.89555894009,3.79573011704802e-12,0.00792345
5595.87440307563,6.8567226625074695e-12,0.0100474
5586.87684433035,5.17687369278759e-12,0.0113833
5579.86742369487,5.73244254222638e-12,0.0100315
5566.76655280422,4.22608282620554e-12,0.00936953
5565.69024243567,4.32295197137201e-12,0.0112008
5547.94694011919,4.63519955086281e-12,0.00903749
5540.26709876181,9.92541085177011e-12,0.00982284
5535.85505586934,6.640225979887699e-12,0.00921776
5534.23973992307,6.2338676100198696e-12,0.0107649
5533.63345190027,3.340514350629e-12,0.00915156
5525.52010738027,4.26436431799144e-12,0.0117131
5525.08628050314,4.50205167003515e-12,0.0128055
5520.12052047865,4.1571894615295e-12,0.00752802
5519.59657232049,7.07299929176604e-12,0.0107393
5518.95475133608,4.3000140024478195e-12,0.00967692
5518.05252205928,3.73400456392266e-12,0.0108691
5516.75127932529,4.9896252012129195e-12,0.0118801
5508.3912600188,5.38653639565716e-12,0.00998792
5506.60752613384,1.0459321424548799e-11,0.0104641
5506.60330579746,8.88032400403185e-12,0.00922411
5497.97128772257,7.76725607087027e-12,0.0103645
5485.54438531056,3.78997308489835e-12,0.0113101
5484.71612448224,3.45839654244553e-12,0.0100026
5483.49384810064,4.73341311282222e-12,0.013085
5472.77220396188,3.06247208730291e-12,0.00946312
5470.90345151352,3.5889685171501297e-12,0.0104816
5464.35768429062,4.12854496751295e-12,0.00985568
5442.67973228522,1.02158738819707e-11,0.00976978
5439.10539802987,3.69349924940917e-12,0.0100835
5433.3940399345,1.46923913505711e-11,0.00860446
5371.71823708151,2.61327857687115e-12,0.0106359
5351.85046854857,2.4342592995643397e-12,0.010099
5335.8818352424,1.55566888413596e-12,0.0093766
5332.17468900824,2.1373904805091197e-12,0.0097587
5318.34636191239,1.84685166687662e-12,0.00768695
5311.85110083635,2.5942277649792e-12,0.0139875
5303.68495698357,2.62376442288094e-12,0.00931801
5303.62549976768,2.31766507857446e-12,0.00837932
5302.73236818584,2.11134126034557e-12,0.00947633
5301.57329206181,2.2432533660386598e-12,0.00938741
5296.45979146175,2.2864032070644797e-12,0.010949
5295.38557089111,1.61156100237264e-12,0.0096685
5277.69401957586,2.8308547042749597e-11,0.011515
5265.92816994465,2.0317251684977698e-12,0.00887328
5260.10209027671,2.14918526384832e-12,0.00811867
5254.08117613332,2.20666325910118e-12,0.0101175
5251.167690818,2.8064992080754797e-12,0.00980711
5247.90402077882,1.64670180619284e-12,0.00994074
5229.96891006344,1.61604383330056e-12,0.00832559
5228.68806871718,1.7659638289392098e-12,0.00819673
5227.67245713166,1.24401167300969e-12,0.00874629
5225.00882363518,1.91383346529538e-12,0.010086
5220.28778600638,2.0272995634025698e-12,0.0128382
5218.59639019956,1.55772818448079e-12,0.0105587
5217.94629828701,1.7314331472081798e-12,0.00999673
5215.04284857791,1.62416703213971e-12,0.0117175
5211.57584733522,1.35333919345406e-11,0.0102265
5210.72190946445,1.1512426900117899e-12,0.00933316
5207.54207647111,2.7779042398169497e-11,0.00894276
5198.34384941669,1.53893922862013e-12,0.0101078
5198.25687176045,1.93027805575301e-12,0.0101454
5196.6288002399,1.2217575277527099e-12,0.0104379
5187.40293754278,1.84459346013199e-12,0.00883515
5187.36407032885,1.62373520745682e-12,0.0100286
5186.77438634669,2.0854513177859197e-12,0.0114149
5186.02602774954,1.99987627857211e-12,0.00979999
5183.1685015144,1.46326696677184e-12,0.0116053
5178.49099728451,2.6202094474979e-11,0.0118226
5163.96134729788,1.537804487336e-12,0.0106931
5157.45929198638,1.3656899721738999e-12,0.00945229
5147.67240008688,1.41057297149492e-12,0.00891908
5143.98420284618,1.31849110384062e-12,0.00849757
5137.77119149196,1.41575326055136e-12,0.00915113
5133.95000341091,1.94997020046814e-12,0.011013
5131.17857571368,1.3655493058796498e-12,0.00986441
5126.71678393218,1.9105192326059098e-12,0.0111372
5126.55542136222,1.80505991417072e-12,0.0085284
5123.84802695323,1.3270367339521998e-12,0.0100943
5123.06633814132,2.00349191199865e-12,0.00968892
5121.37947270708,1.70131738073404e-12,0.00981649
5119.95788171475,1.8009849162050699e-12,0.00894956
5115.17595818263,1.45428954248793e-12,0.00795362
5113.14637403201,1.30604706608241e-12,0.00927037
5110.30977808538,1.25729315420294e-12,0.00982214
5109.09099111406,1.9759044556335497e-12,0.00990726
5102.57630732662,1.67796993135923e-12,0.0101774
5102.57630732662,1.67796993135923e-12,0.0101774
5100.18255612694,1.99074497900359e-12,0.0108701
5096.63381615393,1.47328269392389e-12,0.0127187
5095.98386816645,1.53814151397347e-12,0.0121084
5091.24293801202,1.63299815739963e-12,0.00940734
5088.42795095488,1.41811769634323e-12,0.00977404
5085.44916758376,1.6844019456432499e-12,0.00939695
5083.69089262818,1.5634149328360499e-12,0.0100941
5080.25322410519,1.4837778455610998e-12,0.0110722
5079.92526387579,1.43531185914029e-12,0.00973016
5078.13915160975,1.10398993267067e-12,0.0111759
5074.17088951493,1.77541013378447e-12,0.00937041
5073.64978277774,1.31665687960698e-12,0.00967246
5073.26400567709,1.34794678969844e-12,0.0107531
5071.39643170511,1.32760573448641e-12,0.0103403
5071.3735456874,1.3088815507041699e-12,0.00856513
5071.34041199851,1.53289078713791e-12,0.00902302
5067.50746225808,1.49225448577831e-12,0.0104162
5067.44336933588,1.4031895298860001e-12,0.00919239
5067.37948467148,1.19327115998381e-12,0.0110918
5057.72867893523,1.3878839451718998e-12,0.0106276
5056.06280938969,1.58974423462315e-12,0.011428
5054.03644952999,1.5810732424664099e-12,0.0105995
5051.21791470305,1.15860817988948e-12,0.00910307
5049.70237240596,1.63244160337999e-12,0.0111122
5046.90768965439,1.13535846152858e-12,0.00982241
5045.33022774231,1.5568931945386198e-12,0.0108389
5044.95259776479,1.41619210052891e-12,0.00952655
5044.85212779242,1.5652884497661098e-12,0.0110214
5044.82873623598,1.3912237779360699e-12,0.011496
5039.28449116087,1.51762462604511e-12,0.00981662
5032.37184774043,1.76438403065827e-12,0.00994194
5023.86529040978,1.49822377318614e-12,0.0115162
5017.9626666434,1.07669857884087e-12,0.00920015
5017.96261594912,1.07652616446698e-12,0.00851081
5017.96256734858,1.0865474963939199e-12,0.0103639
5010.35276057444,1.29292143685636e-12,0.0123767
4996.30954049504,1.24664652354571e-12,0.0102166
4995.5512738873,1.50049424697529e-12,0.0106223
4993.82748761837,1.3170873486939199e-12,0.00840492
4993.38167209446,1.14853041982761e-12,0.00922695
4991.28280444038,1.1537889016461299e-12,0.00784629
4988.79667421812,1.6798057784316198e-12,0.0110004
4984.18820228125,1.2413111674597898e-12,0.00954114
4983.86950159144,1.36825327911301e-12,0.0100242
4981.02359248084,1.0693860456054999e-12,0.0109499
4974.19911961311,1.10910656839963e-12,0.0093308
4972.7265252253,1.32869617922631e-12,0.0108486
4970.88022302195,1.1031219792098499e-12,0.010882
4967.59922636148,1.15214656833725e-12,0.00978523
4964.65378912798,1.23884572672306e-12,0.0122988
4962.11782798159,1.62902000388321e-12,0.0113654
4959.75954759798,1.56301247016623e-12,0.0103034
4956.51081644954,1.02347369698053e-12,0.00987669
4956.50462593724,9.84402084569186e-13,0.00821045
4950.12907005849,3.01615297320187e-11,0.00839506
4942.81147990256,9.81797534543979e-13,0.00923069
4942.07421361081,1.09357417870093e-12,0.00990917
4937.00289810111,1.40923582862084e-12,0.01166
4936.89069794405,1.0029183555182899e-12,0.0088686
4936.53345589295,1.10811996047388e-12,0.0101579
4935.16057828377,1.2020106552017198e-12,0.0117951
4934.90560623185,2.6024170584460897e-11,0.00933415
4932.89340654193,9.76066594753887e-13,0.0093391
4932.89191882076,9.85127358019792e-13,0.0100901
4932.69943035745,1.19216944840728e-12,0.0112728
4931.02389753327,9.29388967573039e-13,0.0105298
4930.67030786712,1.0978266253064099e-12,0.0110316
4930.19437495303,1.17643401144573e-12,0.0108098
4925.20813172461,1.05326297571859e-12,0.00876131
4924.51915357872,1.0743076897452899e-12,0.00983549
4919.55961171127,1.09329720089252e-12,0.0105587
4917.42212971792,1.26828417045816e-12,0.0109175
4914.33812091795,1.29572903228057e-12,0.0109908
4914.29033694596,1.1464242775680999e-12,0.0106402
4914.11372618354,1.20387687962521e-12,0.0104184
4914.08809352757,1.11899470185308e-12,0.0100508
4912.23660439572,1.1011399572441599e-12,0.0097987
4908.04847643784,1.3039737917321599e-12,0.0082033
4900.65983560821,1.38291098711424e-12,0.0108475
4898.73861738356,1.33066846034257e-12,0.0107615
4898.30357283667,1.10328317406604e-12,0.0110903
4896.74500551771,9.39287528007589e-13,0.0085831
4889.78805094096,1.00143402322615e-12,0.00857776
4889.51063059158,1.17350931272467e-12,0.00985102
4887.55546962559,1.09741776558028e-12,0.0101099
4886.96883857663,9.509351146106109e-13,0.00883283
4885.1733013912,1.11997159894536e-12,0.00951683
