epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1684598156657,2023-05-20T11.55.56.657,0.000,-0.273,-0.242,0.946
1684598156697,2023-05-20T11.55.56.697,0.040,-0.269,-0.240,0.964
1684598156738,2023-05-20T11.55.56.738,0.081,-0.257,-0.232,0.998
1684598156777,2023-05-20T11.55.56.777,0.120,-0.261,-0.244,0.959
1684598156817,2023-05-20T11.55.56.817,0.160,-0.272,-0.240,0.970
1684598156856,2023-05-20T11.55.56.856,0.199,-0.259,-0.238,0.979
1684598156896,2023-05-20T11.55.56.896,0.239,-0.267,-0.242,0.969
1684598156935,2023-05-20T11.55.56.935,0.278,-0.265,-0.239,0.976
1684598156975,2023-05-20T11.55.56.975,0.318,-0.260,-0.237,0.975
1684598157015,2023-05-20T11.55.57.015,0.358,-0.268,-0.243,0.962
1684598157054,2023-05-20T11.55.57.054,0.397,-0.265,-0.237,0.973
1684598157094,2023-05-20T11.55.57.094,0.437,-0.248,-0.236,0.987
1684598157133,2023-05-20T11.55.57.133,0.476,-0.265,-0.243,0.984
1684598157173,2023-05-20T11.55.57.173,0.516,-0.276,-0.245,0.943
1684598157212,2023-05-20T11.55.57.212,0.555,-0.256,-0.233,0.982
1684598157253,2023-05-20T11.55.57.253,0.596,-0.254,-0.235,1.001
1684598157293,2023-05-20T11.55.57.293,0.636,-0.270,-0.244,0.930
1684598157332,2023-05-20T11.55.57.332,0.675,-0.261,-0.230,1.006
1684598157372,2023-05-20T11.55.57.372,0.715,-0.257,-0.244,0.979
1684598157412,2023-05-20T11.55.57.412,0.755,-0.276,-0.246,0.929
1684598157451,2023-05-20T11.55.57.451,0.794,-0.261,-0.238,1.005
1684598157491,2023-05-20T11.55.57.491,0.834,-0.263,-0.238,0.968
1684598157530,2023-05-20T11.55.57.530,0.873,-0.262,-0.240,0.967
1684598157570,2023-05-20T11.55.57.570,0.913,-0.267,-0.238,0.982
1684598157609,2023-05-20T11.55.57.609,0.952,-0.271,-0.244,0.959
1684598157649,2023-05-20T11.55.57.649,0.992,-0.264,-0.237,0.967
1684598157688,2023-05-20T11.55.57.688,1.031,-0.255,-0.236,0.998
1684598157728,2023-05-20T11.55.57.728,1.071,-0.268,-0.242,0.964
1684598157769,2023-05-20T11.55.57.769,1.112,-0.275,-0.240,0.950
1684598157809,2023-05-20T11.55.57.809,1.152,-0.258,-0.235,1.004
1684598157848,2023-05-20T11.55.57.848,1.191,-0.263,-0.241,0.962
1684598157888,2023-05-20T11.55.57.888,1.231,-0.268,-0.238,0.971
1684598157927,2023-05-20T11.55.57.927,1.270,-0.269,-0.243,0.970
1684598157967,2023-05-20T11.55.57.967,1.310,-0.258,-0.236,0.956
1684598158006,2023-05-20T11.55.58.006,1.349,-0.250,-0.237,1.020
1684598158046,2023-05-20T11.55.58.046,1.389,-0.283,-0.249,0.935
1684598158085,2023-05-20T11.55.58.085,1.428,-0.258,-0.240,0.974
1684598158125,2023-05-20T11.55.58.125,1.468,-0.253,-0.230,1.003
1684598158164,2023-05-20T11.55.58.164,1.507,-0.270,-0.236,0.963
1684598158204,2023-05-20T11.55.58.204,1.547,-0.266,-0.237,0.960
1684598158244,2023-05-20T11.55.58.244,1.587,-0.261,-0.231,0.996
1684598158283,2023-05-20T11.55.58.283,1.626,-0.258,-0.241,0.970
1684598158324,2023-05-20T11.55.58.324,1.667,-0.268,-0.236,0.975
1684598158364,2023-05-20T11.55.58.364,1.707,-0.266,-0.241,0.974
1684598158403,2023-05-20T11.55.58.403,1.746,-0.268,-0.241,0.965
1684598158443,2023-05-20T11.55.58.443,1.786,-0.268,-0.238,0.968
1684598158482,2023-05-20T11.55.58.482,1.825,-0.256,-0.233,0.991
1684598158522,2023-05-20T11.55.58.522,1.865,-0.256,-0.237,0.981
1684598158561,2023-05-20T11.55.58.561,1.904,-0.263,-0.235,0.959
1684598158601,2023-05-20T11.55.58.601,1.944,-0.257,-0.233,0.995
1684598158641,2023-05-20T11.55.58.641,1.984,-0.265,-0.238,0.957
1684598158680,2023-05-20T11.55.58.680,2.023,-0.255,-0.233,0.987
1684598158720,2023-05-20T11.55.58.720,2.063,-0.260,-0.237,0.981
1684598158759,2023-05-20T11.55.58.759,2.102,-0.268,-0.240,0.965
1684598158799,2023-05-20T11.55.58.799,2.142,-0.259,-0.236,0.967
1684598158840,2023-05-20T11.55.58.840,2.183,-0.254,-0.230,0.998
1684598158879,2023-05-20T11.55.58.879,2.222,-0.260,-0.239,0.976
1684598158919,2023-05-20T11.55.58.919,2.262,-0.263,-0.239,0.949
1684598158958,2023-05-20T11.55.58.958,2.301,-0.250,-0.231,1.007
1684598158998,2023-05-20T11.55.58.998,2.341,-0.260,-0.238,0.961
1684598159038,2023-05-20T11.55.59.038,2.381,-0.261,-0.236,0.983
1684598159077,2023-05-20T11.55.59.077,2.420,-0.267,-0.243,0.953
1684598159117,2023-05-20T11.55.59.117,2.460,-0.256,-0.230,0.982
1684598159156,2023-05-20T11.55.59.156,2.499,-0.248,-0.237,1.000
1684598159196,2023-05-20T11.55.59.196,2.539,-0.271,-0.243,0.929
1684598159235,2023-05-20T11.55.59.235,2.578,-0.250,-0.227,1.020
1684598159275,2023-05-20T11.55.59.275,2.618,-0.256,-0.239,0.966
1684598159314,2023-05-20T11.55.59.314,2.657,-0.270,-0.239,0.951
1684598159354,2023-05-20T11.55.59.354,2.697,-0.257,-0.232,0.997
1684598159395,2023-05-20T11.55.59.395,2.738,-0.256,-0.235,0.971
1684598159434,2023-05-20T11.55.59.434,2.777,-0.262,-0.239,0.974
1684598159474,2023-05-20T11.55.59.474,2.817,-0.269,-0.239,0.967
1684598159514,2023-05-20T11.55.59.514,2.857,-0.255,-0.232,0.984
1684598159553,2023-05-20T11.55.59.553,2.896,-0.259,-0.238,0.975
1684598159593,2023-05-20T11.55.59.593,2.936,-0.271,-0.240,0.964
1684598159632,2023-05-20T11.55.59.632,2.975,-0.257,-0.234,0.977
1684598159672,2023-05-20T11.55.59.672,3.015,-0.260,-0.237,0.979
1684598159711,2023-05-20T11.55.59.711,3.054,-0.264,-0.235,0.966
1684598159751,2023-05-20T11.55.59.751,3.094,-0.259,-0.235,0.983
1684598159790,2023-05-20T11.55.59.790,3.133,-0.255,-0.234,0.986
1684598159830,2023-05-20T11.55.59.830,3.173,-0.268,-0.229,0.968
1684598159870,2023-05-20T11.55.59.870,3.213,-0.248,-0.232,1.007
1684598159911,2023-05-20T11.55.59.911,3.254,-0.265,-0.247,0.950
1684598159950,2023-05-20T11.55.59.950,3.293,-0.283,-0.241,0.937
1684598159990,2023-05-20T11.55.59.990,3.333,-0.266,-0.231,0.976
1684598160029,2023-05-20T11.56.00.029,3.372,-0.253,-0.236,0.999
1684598160069,2023-05-20T11.56.00.069,3.412,-0.276,-0.241,0.958
1684598160108,2023-05-20T11.56.00.108,3.451,-0.270,-0.241,0.971
1684598160148,2023-05-20T11.56.00.148,3.491,-0.270,-0.237,0.963
1684598160187,2023-05-20T11.56.00.187,3.530,-0.263,-0.231,0.996
