epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684598156578,2023-05-20T11.55.56.578,0.000,-3.476,3.963,0.305
1684598156618,2023-05-20T11.55.56.618,0.040,-1.951,3.415,-0.305
1684598156657,2023-05-20T11.55.56.657,0.079,-0.793,3.537,-0.244
1684598156697,2023-05-20T11.55.56.697,0.119,2.317,-4.451,-0.244
1684598156738,2023-05-20T11.55.56.738,0.160,2.622,-2.561,-0.305
1684598156777,2023-05-20T11.55.56.777,0.199,-2.744,5.549,0.000
1684598156817,2023-05-20T11.55.56.817,0.239,0.671,-2.195,0.000
1684598156856,2023-05-20T11.55.56.856,0.278,1.159,0.305,-0.488
1684598156896,2023-05-20T11.55.56.896,0.318,-1.220,1.402,0.122
1684598156935,2023-05-20T11.55.56.935,0.357,1.280,-2.500,-0.122
1684598156975,2023-05-20T11.55.56.975,0.397,-0.305,3.171,-0.122
1684598157015,2023-05-20T11.55.57.015,0.437,0.000,0.671,-0.183
1684598157054,2023-05-20T11.55.57.054,0.476,1.646,-1.829,-0.366
1684598157094,2023-05-20T11.55.57.094,0.516,2.500,-0.610,-0.793
1684598157133,2023-05-20T11.55.57.133,0.555,-1.646,2.256,0.427
1684598157173,2023-05-20T11.55.57.173,0.595,-2.622,3.720,0.671
1684598157212,2023-05-20T11.55.57.212,0.634,3.780,-3.354,-0.427
1684598157253,2023-05-20T11.55.57.253,0.675,0.854,0.427,-0.427
1684598157293,2023-05-20T11.55.57.293,0.715,-4.512,4.695,0.549
1684598157332,2023-05-20T11.55.57.332,0.754,5.366,-5.183,-0.915
1684598157372,2023-05-20T11.55.57.372,0.794,-2.012,6.280,-0.732
1684598157412,2023-05-20T11.55.57.412,0.834,-2.866,4.024,0.000
1684598157451,2023-05-20T11.55.57.451,0.873,5.549,-6.098,-0.915
1684598157491,2023-05-20T11.55.57.491,0.913,-1.890,3.476,0.122
1684598157530,2023-05-20T11.55.57.530,0.952,0.000,2.927,-0.610
1684598157570,2023-05-20T11.55.57.570,0.992,1.159,-0.976,-0.244
1684598157609,2023-05-20T11.55.57.609,1.031,-1.707,2.805,-0.061
